episode,number_of_moves,score,max_tile,epsilon
0,182,1376,128,0.9
1,163,1424,128,0.8996440711905077
2,146,988,64,0.8992882847240685
3,161,1404,128,0.8989326405437569
4,68,544,64,0.8985771385926696
5,120,912,64,0.8982217788139265
6,98,636,64,0.8978665611506698
7,257,2544,256,0.8975114855460647
8,84,544,32,0.8971565519432992
9,151,1180,128,0.8968017602855841
10,180,1532,128,0.8964471105161524
11,128,1088,128,0.8960926025782604
12,125,788,64,0.8957382364151866
13,145,1204,128,0.8953840119702324
14,168,1488,128,0.8950299291867221
15,111,756,64,0.8946759880080024
16,151,1312,128,0.8943221883774426
17,130,1108,128,0.8939685302384349
18,103,724,64,0.893615013534394
19,210,2204,256,0.8932616382087569
20,176,1476,128,0.892908404204984
21,47,260,32,0.8925553114665575
22,46,256,32,0.8922023599369828
23,157,1560,128,0.8918495495597877
24,96,752,64,0.8914968802785224
25,168,1328,128,0.8911443520367597
26,136,1240,128,0.8907919647780951
27,111,692,64,0.8904397184461469
28,186,1608,128,0.8900876129845554
29,213,1932,128,0.889735648336984
30,155,1268,128,0.8893838244471182
31,90,608,64,0.8890321412586661
32,164,1420,128,0.8886805987153585
33,148,1152,128,0.8883291967609487
34,89,676,64,0.8879779353392121
35,178,1444,128,0.8876268143939471
36,204,1756,128,0.8872758338689742
37,94,628,64,0.8869249937081367
38,146,1340,128,0.8865742938553001
39,95,616,64,0.8862237342543522
40,163,1356,128,0.8858733148492038
41,129,1088,128,0.8855230355837876
42,93,668,64,0.8851728964020589
43,130,1108,128,0.8848228972479956
44,67,384,32,0.8844730380655976
45,140,1308,128,0.8841233187988877
46,100,636,64,0.8837737393919105
47,90,612,64,0.8834242997887336
48,114,832,64,0.8830749999334465
49,168,1324,128,0.8827258397701613
50,69,372,32,0.8823768192430121
51,108,764,64,0.8820279382961562
52,235,2472,256,0.881679196873772
53,103,708,64,0.8813305949200614
54,80,580,64,0.8809821323792476
55,116,812,64,0.880633809195577
56,110,728,64,0.8802856253133177
57,121,1056,128,0.8799375806767602
58,216,2304,256,0.8795896752302176
59,53,308,32,0.8792419089180248
60,136,1204,128,0.8788942816845393
61,82,568,64,0.8785467934741408
62,159,1356,128,0.878199444231231
63,174,1460,128,0.8778522339002343
64,153,1344,128,0.8775051624255966
65,238,2572,256,0.8771582297517869
66,196,1804,128,0.8768114358232959
67,120,940,64,0.8764647805846364
68,221,2260,256,0.8761182639803435
69,171,1400,128,0.8757718859549749
70,162,1496,128,0.8754256464531097
71,146,1276,128,0.87507954541935
72,170,1488,128,0.8747335827983193
73,85,596,64,0.8743877585346636
74,190,1756,128,0.8740420725730512
75,158,1324,128,0.8736965248581723
76,89,584,64,0.8733511153347392
77,196,1812,128,0.8730058439474864
78,70,516,64,0.8726607106411705
79,136,1164,128,0.8723157153605701
